=== H_TABLE_BEGIN ===
f_actual,H_mag,H_phase_deg,res,settled
18203.88,0.99555,20.545,12,1
18382.35,0.99647,20.342,12,1
18610.42,0.99842,20.086,12,1
18796.99,0.99964,19.886,12,1
18987.34,1.00093,19.691,12,1
19181.59,1.00216,19.495,12,1
19379.85,1.00355,19.280,12,1
19582.25,1.00476,19.100,12,1
19788.92,1.00581,18.888,12,1
20000.00,1.00710,18.695,12,1
20215.63,1.00845,18.485,12,1
20380.44,1.00917,18.339,12,1
20547.95,1.00992,18.120,12,1
20604.40,1.01026,18.140,12,1
20775.62,1.01122,17.983,12,1
21008.40,1.01251,17.772,12,1

21186.44,1.01234,17.606,12,1
21428.57,1.01482,17.413,12,1
21613.83,1.01545,17.254,12,1
21802.33,1.01627,17.091,12,1
21994.13,1.01706,16.941,12,1
22189.35,1.01801,16.785,12,1
22388.06,1.01871,16.631,12,1
22590.36,1.01968,16.497,12,1
22796.35,1.02040,16.297,12,1
23006.13,1.02138,16.156,12,1
23219.81,1.02192,15.990,12,1
23364.49,1.02260,15.879,12,1
23584.91,1.02332,15.716,12,1
23734.18,1.02378,15.573,12,1
23809.52,1.02429,15.561,12,1
23961.66,1.02447,15.454,12,1
24193.55,1.02429,15.268,12,1
24429.97,1.02627,15.135,12,1
24590.16,1.02715,14.967,12,1
24834.44,1.02740,14.854,12,1
25000.00,1.02826,14.746,12,1
25167.79,1.02842,14.629,12,1
25423.73,1.02918,14.467,12,1
25597.27,1.02848,14.346,12,1
25773.20,1.02887,14.225,12,1
26041.67,1.03090,14.086,12,1
26223.78,1.03115,13.972,12,1
26408.45,1.03181,13.860,12,1
26595.74,1.03235,13.756,12,1
26785.71,1.03253,13.635,12,1
26978.42,1.03279,13.521,12,1
27173.91,1.03364,13.404,12,1
27372.26,1.03374,13.249,12,1
27573.53,1.03434,13.184,12,1
27777.78,1.03469,13.071,12,1
27985.07,1.03475,12.928,12,1
28195.49,1.03553,12.835,12,1
28409.09,1.03602,12.733,12,1
28625.96,1.03559,12.585,12,1
28846.15,1.03664,12.501,12,1
28957.53,1.03575,12.415,12,1
29182.88,1.03742,12.327,12,1
29411.77,1.03781,12.208,12,1
29644.27,1.03816,12.079,12,1
29761.90,1.03837,12.054,12,1
30000.00,1.03833,11.907,12,1
30241.94,1.03900,11.808,12,1
30364.37,1.03936,11.746,12,1
30612.24,1.03975,11.635,12,1
30737.71,1.04094,11.561,12,1
30991.74,1.04016,11.460,12,1
31250.00,1.04084,11.340,12,1
31380.75,1.04059,11.282,12,1
